               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.016684,            0.010568,           0.0037974,             0.87052,             0.87914,             0.93638,              0.7893,            0.015922,            0.012018,           0.0039397,           0.0093107,           0.0093107,           0.0093107
                  53,            0.016492,            0.010672,           0.0032698,             0.85552,             0.77508,             0.88827,             0.72851,            0.017752,            0.015085,            0.013525,           0.0092841,           0.0092841,           0.0092841
                  54,            0.016675,            0.010687,           0.0036341,             0.93403,              0.9172,             0.95974,             0.81748,             0.01306,           0.0071949,           0.0033021,            0.009257,            0.009257,            0.009257
                  55,            0.016734,            0.010645,           0.0041945,             0.89947,             0.86464,             0.94504,             0.76321,             0.01759,            0.010372,            0.003272,           0.0092294,           0.0092294,           0.0092294
                  56,            0.016553,            0.010763,           0.0035738,             0.88879,             0.94043,             0.96815,             0.82776,            0.013197,           0.0075316,           0.0026323,           0.0092014,           0.0092014,           0.0092014
                  57,            0.016416,            0.010458,           0.0030407,             0.91744,             0.94269,             0.97224,             0.84305,            0.012796,           0.0068622,           0.0028057,            0.009173,            0.009173,            0.009173
                  58,            0.016376,            0.010043,           0.0037516,              0.7449,             0.34747,             0.48748,             0.34188,            0.034328,            0.036539,            0.058861,            0.009144,            0.009144,            0.009144
                  59,             0.01628,            0.010313,           0.0034885,             0.88908,             0.92861,             0.96021,             0.81886,            0.014552,           0.0081929,           0.0027293,           0.0091147,           0.0091147,           0.0091147
                  60,            0.016256,            0.010603,           0.0031487,              0.8666,             0.95002,             0.95496,             0.81381,            0.013797,           0.0079977,           0.0025228,           0.0090849,           0.0090849,           0.0090849
                  61,            0.015695,            0.010509,           0.0032227,             0.89413,              0.9085,             0.96017,             0.81962,            0.013513,           0.0075259,           0.0026133,           0.0090546,           0.0090546,           0.0090546
                  62,            0.015932,            0.010331,           0.0029135,             0.88918,             0.96206,             0.96352,             0.79451,            0.014734,           0.0079092,           0.0026525,           0.0090239,           0.0090239,           0.0090239
                  63,            0.015905,            0.010133,           0.0030294,              0.8869,             0.91772,              0.9391,             0.80655,            0.013069,           0.0073697,           0.0037899,           0.0089928,           0.0089928,           0.0089928
                  64,               0.016,            0.010177,           0.0029935,             0.82956,             0.78394,              0.8396,             0.71074,            0.018334,            0.020295,            0.013404,           0.0089613,           0.0089613,           0.0089613
                  65,            0.015751,           0.0099923,           0.0029866,             0.85266,             0.96103,             0.93952,             0.80453,            0.013416,           0.0077175,           0.0028599,           0.0089293,           0.0089293,           0.0089293
                  66,            0.015866,            0.010082,           0.0031475,             0.84327,             0.93513,             0.95457,             0.81318,            0.014081,           0.0076839,           0.0065132,           0.0088969,           0.0088969,           0.0088969
                  67,            0.015377,            0.009949,           0.0032535,             0.93388,             0.93759,             0.97396,              0.8476,            0.012303,           0.0068126,           0.0026842,            0.008864,            0.008864,            0.008864
                  68,             0.01556,           0.0097666,           0.0029848,             0.89985,             0.94413,             0.95941,             0.82548,            0.013648,           0.0071696,           0.0028637,           0.0088308,           0.0088308,           0.0088308
                  69,             0.01597,           0.0096728,           0.0033078,             0.92031,              0.9071,             0.96032,              0.8116,            0.014974,           0.0086872,           0.0026227,           0.0087971,           0.0087971,           0.0087971
                  70,             0.01551,            0.010289,            0.003004,             0.90594,             0.94595,             0.97016,             0.83387,            0.013555,           0.0078989,           0.0023155,            0.008763,            0.008763,            0.008763
                  71,            0.015568,             0.00994,           0.0031418,             0.90244,             0.95597,             0.97175,             0.84564,            0.012317,           0.0068145,           0.0021635,           0.0087286,           0.0087286,           0.0087286
                  72,            0.015552,           0.0095736,           0.0027133,             0.88821,             0.78827,             0.85881,             0.67168,            0.021747,            0.019282,           0.0062162,           0.0086937,           0.0086937,           0.0086937
                  73,            0.015357,           0.0098044,           0.0026696,             0.92046,             0.89661,             0.95516,              0.8344,            0.012196,            0.006765,           0.0026801,           0.0086584,           0.0086584,           0.0086584
                  74,            0.015169,           0.0096068,           0.0028269,             0.88864,              0.9462,             0.96581,             0.83325,            0.012344,           0.0067306,           0.0022694,           0.0086227,           0.0086227,           0.0086227
                  75,            0.015843,            0.010059,           0.0034746,             0.86212,             0.89437,             0.93332,             0.79157,            0.014656,           0.0083913,           0.0095574,           0.0085866,           0.0085866,           0.0085866
                  76,            0.015132,           0.0096096,           0.0030774,             0.88777,             0.89125,             0.94098,             0.80492,            0.014286,           0.0092339,           0.0037501,           0.0085502,           0.0085502,           0.0085502
                  77,             0.01519,           0.0097219,           0.0033383,             0.89658,             0.96942,             0.97445,             0.85058,             0.01272,           0.0070122,           0.0027893,           0.0085133,           0.0085133,           0.0085133
                  78,            0.015101,            0.009705,           0.0028903,             0.91225,             0.98048,             0.97277,              0.8488,            0.012392,           0.0065111,           0.0024188,           0.0084761,           0.0084761,           0.0084761
                  79,            0.014652,           0.0093987,           0.0030416,             0.95403,              0.9428,             0.97591,             0.85382,             0.01222,           0.0067752,           0.0022708,           0.0084385,           0.0084385,           0.0084385
                  80,            0.015296,           0.0098831,           0.0033125,             0.88428,             0.96916,             0.97426,              0.8486,            0.013052,           0.0077603,           0.0033878,           0.0084005,           0.0084005,           0.0084005
                  81,            0.015661,            0.010258,           0.0032978,             0.89254,              0.9406,             0.96898,             0.84305,            0.012051,           0.0071746,           0.0026191,           0.0083622,           0.0083622,           0.0083622
                  82,            0.015547,            0.010229,           0.0032264,             0.91804,             0.94894,             0.96239,             0.83228,            0.012375,           0.0067902,           0.0022636,           0.0083235,           0.0083235,           0.0083235
                  83,            0.015337,           0.0098099,           0.0034187,             0.87624,             0.93775,             0.94581,               0.811,            0.013911,           0.0077037,           0.0037405,           0.0082844,           0.0082844,           0.0082844
                  84,             0.01519,            0.010029,           0.0031275,             0.87528,             0.96516,             0.97712,             0.85883,            0.011952,           0.0065704,           0.0026395,            0.008245,            0.008245,            0.008245
                  85,            0.014906,           0.0095656,           0.0027302,             0.95658,             0.95348,             0.97736,             0.85389,            0.011898,           0.0067471,           0.0023204,           0.0082052,           0.0082052,           0.0082052
                  86,            0.015117,           0.0095312,            0.002693,             0.88602,              0.9076,             0.95453,             0.81329,            0.014261,           0.0081734,           0.0030299,           0.0081651,           0.0081651,           0.0081651
                  87,            0.014757,           0.0093855,           0.0026205,             0.90148,             0.95921,             0.97431,             0.85524,            0.012179,           0.0068734,           0.0030631,           0.0081247,           0.0081247,           0.0081247
                  88,            0.014789,           0.0094458,            0.002833,             0.90765,             0.96215,             0.97166,             0.85059,            0.011553,           0.0063569,           0.0023851,           0.0080839,           0.0080839,           0.0080839
                  89,            0.014316,           0.0090569,           0.0023629,              0.9194,             0.96607,             0.98068,             0.86473,            0.011587,           0.0064733,           0.0024794,           0.0080428,           0.0080428,           0.0080428
                  90,            0.014491,           0.0092153,           0.0023717,             0.92325,             0.96792,             0.97912,             0.85941,            0.011689,           0.0065498,           0.0027354,           0.0080013,           0.0080013,           0.0080013
                  91,            0.014461,           0.0092501,           0.0025758,             0.93597,             0.96201,              0.9807,             0.86509,            0.012181,           0.0066169,           0.0023454,           0.0079595,           0.0079595,           0.0079595
                  92,            0.014564,           0.0094767,           0.0028432,             0.90145,             0.93866,             0.97131,              0.8466,            0.012339,           0.0073276,           0.0026923,           0.0079174,           0.0079174,           0.0079174
                  93,            0.014894,           0.0096524,           0.0030184,             0.93181,             0.94851,             0.97456,             0.86552,            0.011598,           0.0065894,           0.0027462,            0.007875,            0.007875,            0.007875
                  94,            0.014185,           0.0093649,           0.0023801,             0.95476,             0.93174,             0.97327,             0.85606,            0.011854,           0.0065665,           0.0025673,           0.0078323,           0.0078323,           0.0078323
                  95,            0.014447,           0.0094787,           0.0025189,              0.8948,              0.9788,             0.96465,             0.84546,            0.011537,           0.0068301,           0.0026886,           0.0077893,           0.0077893,           0.0077893
                  96,            0.014403,           0.0095109,           0.0029993,             0.92552,             0.95566,              0.9773,             0.85242,            0.013174,           0.0075011,           0.0026402,            0.007746,            0.007746,            0.007746
                  97,            0.014474,           0.0092222,           0.0026845,             0.92994,             0.95838,             0.98111,             0.86437,            0.011755,           0.0063399,           0.0029914,           0.0077023,           0.0077023,           0.0077023
                  98,            0.014155,           0.0093018,           0.0024126,             0.93283,             0.95087,             0.97862,             0.85368,             0.01159,           0.0062291,           0.0024171,           0.0076584,           0.0076584,           0.0076584
                  99,            0.014486,           0.0093753,           0.0026519,             0.90178,             0.94959,             0.96977,              0.8561,            0.011675,           0.0064845,           0.0029964,           0.0076142,           0.0076142,           0.0076142
                 100,            0.014456,           0.0091806,           0.0026328,             0.92364,             0.95047,              0.9673,             0.85725,            0.011555,           0.0064866,           0.0026022,           0.0075698,           0.0075698,           0.0075698
                 101,            0.014179,           0.0091227,           0.0024658,             0.93823,             0.92943,             0.97134,             0.86179,            0.011491,           0.0064532,           0.0024109,            0.007525,            0.007525,            0.007525
